tick;supply
1054;4697.50
1055;4603.00
1056;4601.00
1057;4539.25
1058;4489.75
1059;4472.00
1060;4518.00
1061;4535.75
1062;4499.00
1063;4476.00
1064;4412.25
1065;4440.50
1066;4362.50
1067;4316.00
1068;4315.50
1069;4227.50
1070;4213.25
1071;4185.25
1072;4052.50
1073;4013.25
1074;4058.50
1075;3978.00
1076;3906.25
1077;3911.50
1078;3822.75
1079;3797.25
1080;3789.75
1081;3730.25
1082;3682.50
1083;3599.75
1084;3513.00
1085;3454.50
1086;3370.00
1087;3242.75
1088;3158.25
1089;3146.75
1090;3225.25
1091;3305.00
1092;3376.25
1093;3466.25
1094;3562.75
1095;3722.25
1096;3888.00
1097;4023.00
1098;4231.25
1099;4390.25
1100;4557.00
1101;4665.00
1102;4863.00
1103;5015.50
1104;5083.50
1105;5085.00
1106;5081.25
1107;5006.75
1108;4971.00
1109;4839.25
1110;4652.50
1111;4471.50
1112;4279.75
1113;4045.50
1114;3723.50
1115;3411.25
1116;3074.00
1117;2744.25
1118;2442.25
1119;2184.25
1120;1958.75
1121;1790.75
1122;1689.25
1123;1554.75
1124;1534.50
1125;1533.25
1126;1495.00
1127;1425.75
1128;1360.50
1129;1319.75
1130;1334.25
1131;1338.75
1132;1315.25
1133;1284.00
1134;1282.25
1135;1257.25
1136;1250.50
1137;1264.50
1138;1288.00
1139;1290.25
1140;1326.75
1141;1275.75
1142;1194.50
1143;1116.25
1144;1147.25
1145;1100.25
1146;1018.75
1147;1027.25
1148;1068.25
1149;1070.00
1150;1050.50
1151;1043.25
1152;1017.75
1153;1038.25
1154;1075.25
1155;1047.00
1156;1081.50
1157;1120.50
1158;1034.25
1159;1010.50
1160;996.25
1161;1041.25
1162;1070.50
1163;1095.50
1164;1157.25
1165;1247.75
1166;1296.00
1167;1298.75
1168;1344.75
1169;1396.75
1170;1407.50
1171;1458.25
1172;1483.00
1173;1474.75
1174;1535.00
1175;1581.50
1176;1614.75
1177;1688.50
1178;1764.50
1179;1866.25
1180;1987.75
1181;2026.75
1182;2033.25
1183;2054.50
1184;2078.50
1185;2207.00
1186;2300.50
1187;2390.25
1188;2476.25
1189;2617.75
1190;2651.00
1191;2786.00
1192;2926.00
1193;2905.00
1194;2888.25
1195;2965.00
1196;3022.75
1197;3080.75
1198;3090.75
1199;3066.50
1200;3013.25
1201;2973.25
1202;2887.50
1203;2850.75
1204;2750.50
1205;2558.00
1206;2362.00
1207;2236.00
1208;2101.50
1209;1900.75
1210;1665.75
1211;1550.75
1212;1477.00
1213;1342.75
1214;1213.50
1215;1082.50
1216;1013.75
1217;928.75
1218;875.75
1219;918.25
1220;913.25
1221;913.50
1222;907.50
1223;898.75
1224;924.50
1225;990.00
1226;1030.25
1227;1042.25
1228;1010.00
1229;991.25
1230;969.75
1231;930.50
1232;914.75
1233;890.00
1234;869.00
1235;804.50
1236;762.50
1237;772.25
1238;783.25
1239;763.50
1240;757.75
1241;723.75
1242;710.75
1243;664.50
1244;629.50
1245;608.00
1246;609.00
1247;597.00
1248;567.00
1249;562.50
1250;521.00
1251;503.75
1252;486.75
1253;499.00
1254;505.75
1255;495.25
1256;492.50
1257;485.75
1258;502.25
1259;489.50
1260;469.50
1261;456.25
1262;453.25
1263;435.50
1264;427.50
1265;446.50
1266;462.00
1267;466.50
1268;467.00
1269;445.25
1270;436.50
1271;438.00
1272;454.25
1273;445.50
1274;428.50
1275;391.00
1276;369.25
1277;382.00
1278;392.25
1279;364.50
1280;359.75
1281;352.25
1282;371.50
1283;421.50
1284;477.00
1285;501.75
1286;571.75
1287;635.00
1288;733.25
1289;823.00
1290;888.75
1291;932.50
1292;955.75
1293;962.75
1294;1018.50
1295;1031.00
1296;1019.75
1297;1000.50
1298;983.75
1299;944.50
1300;938.00
1301;876.00
1302;847.75
1303;805.00
1304;755.50
1305;697.25
1306;623.00
1307;561.75
1308;506.00
1309;451.75
1310;373.25
1311;317.50
1312;287.00
1313;269.75
1314;284.75
1315;310.25
1316;336.50
1317;325.75
1318;369.25
1319;386.00
1320;400.75
1321;437.25
1322;425.00
1323;386.25
1324;376.50
1325;375.00
1326;386.25
1327;383.75
1328;380.50
1329;361.50
1330;356.50
1331;360.00
1332;346.50
1333;364.75
1334;356.00
1335;358.50
1336;363.75
1337;347.25
1338;345.25
1339;359.00
1340;351.25
1341;356.00
1342;392.00
1343;402.75
1344;379.75
1345;377.00
1346;385.50
1347;393.75
1348;396.75
1349;383.25
1350;373.00
1351;363.50
1352;366.75
1353;353.00
1354;349.75
1355;360.50
1356;374.00
1357;381.00
1358;378.25
1359;372.50
1360;388.00
1361;409.00
1362;379.75
1363;353.75
1364;365.50
1365;386.00
1366;386.75
1367;386.75
1368;398.25
1369;401.75
1370;391.50
1371;417.75
1372;395.25
1373;412.00
1374;454.50
1375;474.75
1376;539.25
1377;563.75
1378;601.25
1379;663.25
1380;763.25
1381;912.25
1382;1056.50
1383;1175.25
1384;1335.75
1385;1495.25
1386;1709.75
1387;1833.50
1388;2002.25
1389;2250.25
1390;2321.75
1391;2521.25
1392;2441.50
1393;2404.75
1394;2360.25
1395;2283.75
1396;2221.50
1397;2179.50
1398;2104.75
1399;2048.75
1400;1996.25
1401;1896.25
1402;1865.00
1403;1727.25
1404;1604.50
1405;1470.00
1406;1362.75
1407;1241.75
1408;1207.00
1409;1155.00
1410;1111.25
1411;1132.25
1412;1183.50
1413;1221.75
1414;1235.75
1415;1259.50
1416;1283.50
1417;1321.00
1418;1341.50
1419;1374.00
1420;1427.00
1421;1489.50
1422;1543.75
1423;1547.75
1424;1543.25
1425;1569.25
1426;1546.75
1427;1576.00
1428;1617.75
1429;1621.25
1430;1640.00
1431;1629.75
1432;1602.25
1433;1570.25
1434;1590.25
1435;1603.00
1436;1614.50
1437;1601.50
1438;1641.00
1439;1615.50
1440;1632.00
1441;1639.50
1442;1619.50
1443;1637.50
1444;1629.50
1445;1643.00
1446;1646.25
1447;1624.50
1448;1655.75
1449;1713.50
1450;1754.50
1451;1862.75
1452;1877.00
1453;1854.25
1454;1825.25
1455;1749.50
1456;1737.75
1457;1764.25
1458;1761.50
1459;1736.00
1460;1669.25
1461;1673.25
1462;1660.25
1463;1670.50
1464;1693.50
1465;1714.25
1466;1709.00
1467;1709.75
1468;1676.25
1469;1667.75
1470;1630.00
1471;1605.25
1472;1598.00
1473;1630.00
1474;1652.50
1475;1679.50
1476;1755.00
1477;1833.25
1478;1876.75
1479;1949.50
1480;2027.50
1481;2087.50
1482;2134.00
1483;2199.25
1484;2192.00
1485;2228.75
1486;2277.50
1487;2260.50
1488;2262.75
1489;2187.25
1490;2152.00
1491;2168.50
1492;2129.75
1493;2111.50
1494;2054.50
1495;2055.00
1496;2069.50
1497;2018.75
1498;2012.25
1499;2008.00
1500;2108.50
1501;2142.75
1502;2057.00
1503;2026.25
1504;2060.75
1505;2101.00
1506;2085.50
1507;2085.00
1508;2059.50
1509;2055.75
1510;2052.25
1511;2030.25
1512;2014.25
1513;2009.75
1514;2006.50
1515;2125.50
1516;2207.25
1517;2218.25
1518;2204.75
1519;2252.00
1520;2254.50
1521;2284.75
1522;2388.00
1523;2454.50
1524;2453.00
1525;2374.25
1526;2277.75
1527;2159.50
